Episode;End_numerical_time_stepepi_time;epi_function_time;epi_evolve_time
0;20.34000015258789;1672714842.4616091;0;0
1;22.340045928955078;1857.764723777771;1855.4433281421661;1855.2363231182098
2;24.340091705322266;1821.9105033874512;1820.5354969501495;1820.509280204773
3;26.340137481689453;1814.0306236743927;1812.088782787323;1812.0646181106567
4;28.34018325805664;1780.7943682670593;1779.5214684009552;1779.4943828582764
5;30.340229034423828;1721.278683423996;1719.918317079544;1719.8935062885284
6;32.340274810791016;1586.692031621933;1585.397138595581;1585.3732151985168
7;34.3403205871582;1587.277768611908;1586.040580034256;1586.0149555206299
8;36.34036636352539;1521.7087635993958;1520.0823113918304;1519.8893914222717
9;38.34041213989258;1511.8346428871155;1510.5007972717285;1510.4765815734863
