Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;1;1800;0.142962;0.02110543
Simu_M005_NbAct100_lift;1;1820;0.1423578;0.03185756
Simu_M005_NbAct100_lift;1;1840;0.1418448;0.04268675
Simu_M005_NbAct100_lift;1;1860;0.1414982;0.05188039
Simu_M005_NbAct100_lift;1;1880;0.141236;0.05800822
Simu_M005_NbAct100_lift;1;1900;0.1408443;0.06004658
Simu_M005_NbAct100_lift;1;1920;0.1400888;0.05782831
Simu_M005_NbAct100_lift;1;1940;0.1389243;0.0516942
Simu_M005_NbAct100_lift;1;1960;0.1377774;0.04259351
Simu_M005_NbAct100_lift;1;1980;0.1371493;0.03181248
Simu_M005_NbAct100_lift;1;2000;0.1373973;0.02102081
Simu_M005_NbAct100_lift;1;2020;0.1386028;0.0119086
Simu_M005_NbAct100_lift;1;2040;0.1404432;0.005935779
Simu_M005_NbAct100_lift;1;2060;0.1422508;0.004021052
Simu_M005_NbAct100_lift;1;2080;0.1432083;0.006626637
Simu_M005_NbAct100_lift;1;2100;0.1432812;0.01313374
Simu_M005_NbAct100_lift;1;2120;0.1428351;0.02247373
Simu_M005_NbAct100_lift;1;2140;0.1422334;0.03326965
Simu_M005_NbAct100_lift;1;2160;0.1417452;0.04392353
Simu_M005_NbAct100_lift;1;2180;0.1414075;0.05277121
Simu_M005_NbAct100_lift;1;2200;0.141156;0.05839138
Simu_M005_NbAct100_lift;1;2220;0.1407372;0.05990325
Simu_M005_NbAct100_lift;1;2240;0.1399094;0.05711823
Simu_M005_NbAct100_lift;1;2260;0.1387299;0.05056276
Simu_M005_NbAct100_lift;1;2280;0.1376326;0.04120608
Simu_M005_NbAct100_lift;1;2300;0.1371075;0.03036521
Simu_M005_NbAct100_lift;1;2320;0.1374884;0.01973936
Simu_M005_NbAct100_lift;1;2340;0.1387989;0.0110184
Simu_M005_NbAct100_lift;1;2360;0.140676;0.00551624
Simu_M005_NbAct100_lift;1;2380;0.1424075;0.004161533
Simu_M005_NbAct100_lift;1;2400;0.1432314;0.007339165
Simu_M005_NbAct100_lift;1;2420;0.1432151;0.01425971
Simu_M005_NbAct100_lift;1;2440;0.1427321;0.02384651
